streamer,average_viewers,hours_streamed
2wintails,817,41
5up,386,22
admiralbahroo,3783,141
aicandii,654,100
akamikarubi,4835,161
akarindao,4123,208
alekirser,453,49
amakipururu,2122,78
aoi_sakura3,793,14
artemisoftheblue,259,7
ash,299,16
ashtonmarten,314,55
bajiru_EN,215,21
bao,2002,65
beribug,288,52
beyumi_,207,48
bino,137,60
bodegarrat,160,130
briatcookiebox,52,60
buffpup,1994,66
buni,584,107
calliecalico,255,86
camila,2710,43
cerberVT,1333,189
chainavt,139,74
chibidoki,2180,86
chromuchromu,470,34
clauvio,511,27
codemiko,1867,95
coqui,641,68
cottontailva,3053,57
crayonvt,345,64
crelly,715,477
cupic,241,33
cvnka,157,64
cyphi,116,82
deme,2605,59
dokibird,1722,3
dreaminspirit,309,41
dyarikku,1161,227
ebiko,326,79
ecto,620,64
eden,215,108
eeiris,218,155
Ellie_Minibot,905,30
elly,949,208
ellyen,454,43
emikukis,776,42
emtsmaru,2860,6
eros,497,70
essie_ch,110,60
fallenshadow,2059,75
fangguu,198,4
fefe,1277,38
filian,6206,68
froggyhoppins,418,17
FroggyLoch,1082,26
fufu,450,111
fuxelbau,241,113
geega,1616,115
girl_dm_,563,149
giwi,793,118
gokigennanamechan,162,12
grape,291,56
grimmi,1481,158
gx_aura,245,44
hackerling,603,110
hajime,344,2
hannahhyrule,301,38
hatsukaneru,560,131
heavenlyfather,708,59
henemimi,193,108
henyathegenius,3684,131
hiiragitsurugi,9208,121
hinabobina,681,62
hinanotachiba7,4498,8
hiranokokoro,23,32
honey_goblin,378,40
ikumi,399,42
imakuni,290,41
inislein,301,57
irelyth,243,46
ironmouse,6429,183
JeanFaymas,514,93
jinja,823,39
jongie,686,150
JuniperActias,945,74
kanekolumi,1228,118
kendomurft,312,20
kenji,2870,46
kirsche,1237,93
kitanya_is_here,414,66
KokoNuts,1170,75
kqsii,285,35
kspksp,2950,168
kuul,202,53
Leaflit,626,157
leeandlie,1387,85
limealicious,2575,130
lolotus,242,44
longlivereya,83,49
LordAethelstan,1355,7
lucypyre,1969,49
lumituber,378,283
lunaria,141,551
lunywoo,407,32
lyra,334,55
MakoFukasame,638,104
manamebin,106,101
mayularkspur,78,95
meat,619,128
megalodonvt,1222,13
meicha,490,115
merryweather,310,33
michimochievee,4035,100
miia,447,53
milky,664,62
minaaoyama,647,246
minikomew,939,87
mintcastella,414,83
mizukimilk723,318,15
momotexx,157,13
motherv3,401,70
murdercrumpet,1145,177
mysticlight,304,101
nacho_dayo,2237,32
naiyospede,149,55
nekrolina,874,49
nephtunie,163,166
nerumerotwitch,79,14
nihmune,3201,43
nimuvt,335,13
ninaninin,500,35
noodlewolfvt,532,180
nootie,184,60
NyanaBanyanaVT,458,30
nyanners,1646,71
nyxie,527,149
obkatiekat,828,34
oliviamonroe,3079,113
onigiri,2075,134
overezeggs,341,125
parasi,232,90
petit2434,1341,25
PorcelainMaid,745,126
projektmelody,1570,25
rainhoe,1166,85
ramuneshiranami,2919,196
ran_hinokuma,404,130
ReiyuGuiGui,216,11
ren0809k,659,130
renniesaurus,133,205
rinpenrose,518,32
roko,134,20
rosedoodle,1240,92
rosuuri,661,9
rubee,616,153
RUMI0813,83,75
ruroroisme,259,197
saeko,365,126
saiiren,756,161
saki,51,17
saruei,1831,49
savehymn,136,67
savii,698,84
sayu,617,123
seol,104,7
shiabun,589,75
shirahiko,477,52
shizurintv,426,3
shxtou,2706,81
shylily,6841,105
silvervale,3370,45
sinuuki,525,142
snoozy,324,64
snuffy,1542,40
spite,1262,203
squchan,2243,39
suko,758,80
sunnysplosion,422,75
tenma,764,18
tentei_forte,399,207
theemmallama,169,81
tobs,952,129
tokoyamitowa_holo,3912,52
toma,628,69
tomoeumari,243,64
trickywi,1609,60
urstinkyyy,235,39
vedal987,9756,47
vei,3969,33
vesper,659,26
vienna,2035,57
vividlyvivi,455,52
vtuber_amiru,740,181
whiskey_project,449,32
yenkoes,239,23
YFUBABY,429,124
yoclesh,835,37
yoroyoyo,130,8
yueho,232,295
yuzu,1810,82
yuzumi_neon,1555,101
zentreya,4347,651
zilverk,571,14
zuma,280,34
